# Rho Value, Average X-Distance
1.225000000000000089e+00,1.013414367825534441e+02
1.199346497255186605e+00,1.022315289662520001e+02
1.174230220798600399e+00,1.031179360628639472e+02
1.149639920233457957e+00,1.039989712919774689e+02
1.125564580764677247e+00,1.048759690858651368e+02
1.101993418264994640e+00,1.057472349045325473e+02
1.078915874444400957e+00,1.066135160305308887e+02
1.056321612120742159e+00,1.074751748519916390e+02
1.034200510589358135e+00,1.083300620189725549e+02
1.012542661089691709e+00,1.091791706986430626e+02
