# Rho Value, Home Run Count
1.225000000000000089e+00,2.153500000000000000e+04
1.199346497255186605e+00,2.313900000000000000e+04
1.174230220798600399e+00,2.460200000000000000e+04
1.149639920233457957e+00,2.607500000000000000e+04
1.125564580764677247e+00,2.750400000000000000e+04
1.101993418264994640e+00,2.882700000000000000e+04
1.078915874444400957e+00,3.014100000000000000e+04
1.056321612120742159e+00,3.137000000000000000e+04
1.034200510589358135e+00,3.260000000000000000e+04
1.012542661089691709e+00,3.377600000000000000e+04
